기준_날짜,행정동_ID,승객_수
2023-03-20,1109071,34494.0
2023-09-16,1109071,28260.0
2023-01-31,1116051,14732.0
2023-05-03,1121064,88484.0
2023-01-29,1122055,7087.0
2023-12-20,1118060,8170.0
2023-10-12,1125055,4182.0
2023-02-17,1122063,10415.0
2023-06-11,1116063,5113.0
2023-12-10,1109074,11375.0
2023-05-27,1124062,1344.0
2023-11-16,1112056,17894.0
2023-06-08,1111060,8859.0
2023-01-28,1115058,4939.0
2023-04-14,1121064,89250.0
2023-09-25,1117056,26797.0
2023-09-09,1102072,2121.0
2023-04-02,1109070,17118.0
2023-08-05,1104062,10623.0
2023-04-13,1104067,6439.0
2023-09-22,1104058,5674.0
2023-11-08,1124065,10568.0
2023-08-06,1120073,27344.0
2023-08-26,1115058,5434.0
2023-01-28,1115057,3362.0
2023-02-09,1115063,6248.0
2023-06-08,1120071,31761.0
2023-09-29,1106072,11606.0
2023-02-28,1120067,4335.0
2023-12-07,1122065,11007.0
2023-10-31,1103064,3124.0
2023-08-12,1114066,188794.0
2023-02-07,1117071,27985.0
2023-11-19,1106072,22489.0
2023-06-02,1124053,15267.0
2023-04-09,1122064,12215.0
2023-07-30,1116067,12890.0
2023-04-22,1125061,10884.0
2023-09-17,1113069,7410.0
2023-07-14,1112056,18568.0
2023-10-07,1125054,11212.0
2023-01-03,1121058,14983.0
2023-04-16,1117056,14443.0
2023-12-06,1116073,82190.0
2023-08-19,1101055,6502.0
2023-10-22,1123079,48007.0
2023-09-12,1122061,8155.0
2023-04-16,1125056,2876.0
2023-11-02,1114066,196864.0
2023-06-26,1121063,70596.0
2023-03-15,1110052,9906.0
2023-01-18,1106090,10210.0
2023-07-03,1105055,4730.0
2023-03-03,1122067,29625.0
2023-10-23,1124079,28146.0
2023-06-11,1117056,14155.0
2023-09-16,1102072,2218.0
2023-09-16,1123064,95580.0
2023-02-07,1101060,1960.0
2023-09-28,1110065,11802.0
2023-12-20,1121080,93852.0
2023-01-13,1113068,19562.0
2023-07-21,1108077,17409.0
2023-08-16,1107059,7238.0
2023-09-11,1106081,78552.0
2023-05-25,1121069,23183.0
2023-08-20,1101069,2565.0
2023-12-21,1111053,12680.0
2023-12-15,1105061,23431.0
2023-04-06,1108063,11483.0
2023-09-07,1119072,41638.0
2023-05-18,1112052,21271.0
2023-02-10,1121073,24297.0
2023-07-24,1109072,41429.0
2023-10-27,1125054,17477.0
2023-04-20,1124056,6811.0
2023-02-27,1120069,6357.0
2023-07-08,1101068,167.0
2023-12-28,1109060,58990.0
2023-03-31,1124057,12022.0
2023-08-07,1105067,14775.0
2023-12-15,1109064,10638.0
2023-09-07,1124054,3412.0
2023-05-23,1113065,6171.0
2023-01-20,1118058,6877.0
2023-10-25,1117072,34889.0
2023-04-13,1104069,3391.0
2023-05-07,1123080,7963.0
2023-04-28,1106080,13960.0
